"PK_ID","sID","Race","Ethnicity","Gender","free_reduced_lunch","limited_english_proficiency","treatment","academic_knowledge","parent_time_read","parent_edu","CTOPP_Blend","CTOPP_EL","letter_ID","picture_vocab","passage_comp","word_attack","KBIT_matrices","KBIT_riddles","KBIT_verbal"
10236,6,3,0,1,0,0,0,10,3,4,10,3,15,17,5,3,14,13,18
10237,6,3,0,0,1,0,0,12,2,2,2,2,15,16,7,3,14,9,10
10238,6,5,0,1,0,0,0,13,3,5,9,8,14,19,6,6,13,10,27
10239,6,3,0,0,1,0,0,11,3,3,9,0,14,16,4,3,18,14,15
10240,6,3,0,0,1,0,0,8,2,2,0,1,10,13,4,2,9,5,8
10241,6,3,0,1,0,0,0,14,3,4,4,5,8,16,8,2,17,15,17
10243,6,3,0,1,1,0,0,10,3,1,0,0,12,14,4,3,15,8,12
10245,6,3,0,0,1,0,0,11,3,2,3,3,8,12,5,2,14,14,15
10246,6,5,0,1,1,0,0,15,2,1,11,3,16,21,4,3,18,18,27
10248,6,5,0,1,0,0,0,13,3,4,6,2,16,17,4,3,16,14,16
10250,6,3,0,1,1,0,0,13,3,3,7,5,10,19,4,1,16,17,12
10251,6,3,0,0,1,0,0,8,3,3,0,0,14,12,4,2,12,5,6
10254,6,3,0,0,1,0,0,13,3,3,2,3,13,19,4,3,16,13,13
10255,6,3,0,1,0,0,0,12,3,3,3,2,3,18,4,0,16,12,15
10256,6,5,0,0,0,0,0,11,3,2,0,3,10,16,4,2,20,12,17
10259,6,3,0,0,1,0,0,12,3,3,2,3,12,17,8,3,17,10,7
10262,6,3,0,0,1,0,0,12,3,3,0,0,10,15,3,3,13,12,15
10263,6,3,0,0,0,0,0,11,2,3,4,0,17,14,4,2,16,9,11
10264,6,3,0,0,1,0,0,10,3,3,2,0,14,13,5,1,13,10,13
10265,6,3,0,1,1,0,0,11,2,3,0,3,13,13,4,2,16,12,14
10266,6,3,0,1,1,1,0,9,2,4,0,0,5,8,5,2,8,4,6
10267,6,3,0,0,1,0,0,11,3,4,3,0,5,13,5,2,15,9,13
10268,6,3,0,0,1,0,0,14,3,5,2,2,10,16,6,3,14,11,16
10269,6,5,1,0,1,1,0,9,3,2,0,0,7,8,5,0,9,1,3
10270,6,3,0,1,1,0,0,7,2,2,0,0,12,13,5,2,10,6,7
10271,6,5,0,1,0,0,0,12,3,5,5,8,11,13,6,2,14,10,8
10272,6,3,0,1,1,0,0,11,3,4,10,7,18,15,6,6,15,10,12
10274,6,3,0,1,1,0,0,8,3,3,0,0,10,14,5,3,13,7,4
10275,6,3,0,0,1,0,0,12,3,2,7,2,9,17,4,2,12,12,13
10276,6,5,0,1,1,0,0,11,3,1,8,6,12,15,4,3,15,11,15
10277,6,3,0,1,0,0,0,9,3,4,8,0,22,19,4,7,13,13,15
